hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_day,reservation_status_month,reservation_status_year,country_name
Resort Hotel,0,109,2016,January,1,1,0,1,2,0,0,BB,RUS,Online TA,Travel Agents/Tour Operators,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient-Party,59.94,0,1,Check-Out,2,1,2016,Russia
Resort Hotel,0,109,2016,January,1,1,0,1,2,2,0,BB,RUS,Online TA,Travel Agents/Tour Operators,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient-Party,116.1,1,1,Check-Out,2,1,2016,Russia
Resort Hotel,1,2,2016,January,1,1,0,1,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,89,0,1,No-Show,1,1,2016,Portugal
Resort Hotel,0,88,2016,January,1,1,0,2,2,0,0,HB,ARG,Online TA,Travel Agents/Tour Operators,0,0,0,A,D,0,No Deposit,241,NULL,0,Transient,73.46,0,2,Check-Out,3,1,2016,Argentina
Resort Hotel,1,20,2016,January,1,1,0,2,2,2,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,119,0,0,Canceled,22,12,2015,Portugal
Resort Hotel,1,76,2016,January,1,1,1,2,2,0,0,BB,PRT,Online TA,Travel Agents/Tour Operators,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,57.9,0,1,Canceled,20,12,2015,Portugal
Resort Hotel,0,88,2016,January,1,1,0,2,2,1,0,HB,ARG,Online TA,Travel Agents/Tour Operators,0,0,0,A,D,0,No Deposit,241,NULL,0,Transient,90.17,0,2,Check-Out,3,1,2016,Argentina
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
Resort Hotel,1,113,2016,January,1,2,0,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,305,NULL,0,Transient,72,0,0,Canceled,16,11,2015,Portugal
